ads_type,agency,agency_name,area,bedrooms,city,description,is_available,land_surface,origin,others,photos,postal_code,price,property_type,public_url,rooms,site_id,title,url,website
,True,Arthurimmo,38,1,ris,"Proche de tous les commerces et transports à pieds, au rez-de-chaussée d'un immeuble sécurisé, 2 pièces comprenant :
entrée, séjour avec petit balcon, chambre, cuisine aménagée et équipée d'une plaque induction, four et hotte, salle d'eau, wc séparé. Double vitrage avec persiennes. Chauffage, eau froide et chaude compris dans le loyer.
Libre de suite !!!
Honoraires locataire : 494 € TTC dont 114 € d'état des lieux d'entrée.",True,,"{'spider': 'arthurimmo', 'added_from': 'SCRAPY', 'ref': 'https://www.arthurimmo.com/recherche,basic.htm?transactions=louer&types%5B0%5D=maison&types%5B1%5D=appartement&types%5B2%5D=terrain&types%5B3%5D=immeuble&types%5B4%5D=local-commercial&types%5B5%5D=boutique&types%5B6%5D=fonds-de-commerce&types%5B7%5D=parking&types%5B8%5D=bureau&sort=-updated_at&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 18, 4, 989668)}","{'assets': ['DPE 187', 'GES 43', 'Surface habitable 38 m²', 'Etage Rez-de-chaussée', 'Nombre de pièces 2', 'Nombre de chambres 1', ""Nombre de salles d'eau 1"", 'Nombre de WC 1', 'Nombre de WC séparés 1', 'Chauffage collectif gaz', ""Tout-à-l'égout Oui"", 'Dpe date 2022-05-14']}","https://photos.lesiteimmo.com/biens/24805226/0/original/1652540528,https://photos.lesiteimmo.com/biens/24805226/1/original/1652540528,https://photos.lesiteimmo.com/biens/24805226/3/original/1652540528,https://photos.lesiteimmo.com/biens/24805226/2/original/1652540528",,662,,https://www.arthurimmo.com/annonces/location/appartement/ris-orangis-91130/24805226.htm,2,24805226,Location Appartement 2 pièces 38 m2 à Ris-Orangis,https://www.arthurimmo.com/annonces/location/appartement/ris-orangis-91130/24805226.htm,www.arthurimmo.com
,True,Arthurimmo,35,1,charenton,"Quai des Carrières. A 5 minutes à pied du métro ligne 8 ""Charenton-Ecoles"", appartement 2 pièces MEUBLÉ situé au 1er étage d'une petite copropriété ancienne comprenant entrée, pièce principale avec cuisine ouverte équipée, une chambre, salle de bains avec WC. Cave. Libre de suite.",True,,"{'spider': 'arthurimmo', 'added_from': 'SCRAPY', 'ref': 'https://www.arthurimmo.com/recherche,basic.htm?transactions=louer&types%5B0%5D=maison&types%5B1%5D=appartement&types%5B2%5D=terrain&types%5B3%5D=immeuble&types%5B4%5D=local-commercial&types%5B5%5D=boutique&types%5B6%5D=fonds-de-commerce&types%5B7%5D=parking&types%5B8%5D=bureau&sort=-updated_at&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 18, 4, 989668)}","{'assets': ['DPE 328', 'GES 10', 'Année de construction 1930', 'Surface habitable 35 m²', ""Nombre d'étages 3"", 'Etage 1er', 'Nombre de pièces 2', 'Nombre de chambres 1', ""Nombre de salles d'eau 1"", 'Nombre de WC 1', 'Nombre de WC séparés 1', 'Chauffage electrique', 'Cave 1', 'Dpe date 2020-06-17']}","https://photos.lesiteimmo.com/biens/24795627/2/original/1652419333,https://photos.lesiteimmo.com/biens/24795627/3/original/1652419333,https://photos.lesiteimmo.com/biens/24795627/1/original/1652419333,https://photos.lesiteimmo.com/biens/24795627/0/original/1652419333",,970,,https://www.arthurimmo.com/annonces/location/appartement/charenton-le-pont-94220/24795627.htm,2,24795627,Location Appartement 2 pièces 35 m2 à Charenton-le-Pont,https://www.arthurimmo.com/annonces/location/appartement/charenton-le-pont-94220/24795627.htm,www.arthurimmo.com
,True,Arthurimmo,,,charenton,"A 100m du métro 8 ""Liberté"", place de parking en sous-sol.
16 Avenue de la Liberté, 94220 CHARENTON-LE-PONT",True,,"{'spider': 'arthurimmo', 'added_from': 'SCRAPY', 'ref': 'https://www.arthurimmo.com/recherche,basic.htm?transactions=louer&types%5B0%5D=maison&types%5B1%5D=appartement&types%5B2%5D=terrain&types%5B3%5D=immeuble&types%5B4%5D=local-commercial&types%5B5%5D=boutique&types%5B6%5D=fonds-de-commerce&types%5B7%5D=parking&types%5B8%5D=bureau&sort=-updated_at&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 18, 4, 989668)}","{'assets': ['Etage Sous-sol', 'Dpe date 2022-03-23', 'Nb parkings 1']}",https://photos.lesiteimmo.com/biens/24309613/0/original/1646929991,,70,,https://www.arthurimmo.com/annonces/location/parking/charenton-le-pont-94220/24309613.htm,,24309613,Location Parking à Charenton-le-Pont,https://www.arthurimmo.com/annonces/location/parking/charenton-le-pont-94220/24309613.htm,www.arthurimmo.com
,True,Arthurimmo,22,,charenton,"A 300 mètres du Métro ligne 8 ""Charenton-Écoles"", au 3ème et dernier étage d'une petite copropriété, appartement 2 pièces offrant : pièce principale avec cuisine aménagée, chambre, salle d'eau avec WC. Chauffage et eau chaude individuelle. En parfait état. Bail meublé. Disponible au 01 juin.",True,,"{'spider': 'arthurimmo', 'added_from': 'SCRAPY', 'ref': 'https://www.arthurimmo.com/recherche,basic.htm?transactions=louer&types%5B0%5D=maison&types%5B1%5D=appartement&types%5B2%5D=terrain&types%5B3%5D=immeuble&types%5B4%5D=local-commercial&types%5B5%5D=boutique&types%5B6%5D=fonds-de-commerce&types%5B7%5D=parking&types%5B8%5D=bureau&sort=-updated_at&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 18, 4, 989668)}","{'assets': ['Etat général Bon', 'Année de construction 1900', 'Surface habitable 22 m²', ""Nombre d'étages 3"", 'Etage Dernier étage', 'Nombre de pièces 2', 'Orientation sud', 'Chauffage individuel electrique radiateur', 'Interphone Oui', 'Double vitrage Oui', ""Tout-à-l'égout Oui"", 'Micro-ondes Oui', 'Digicode Oui', 'Dpe date 2022-05-21', 'Internet 1']}","https://photos.lesiteimmo.com/biens/24817100/0/original/1653065558,https://photos.lesiteimmo.com/biens/24817100/3/original/1653065558,https://photos.lesiteimmo.com/biens/24817100/1/original/1653065558,https://photos.lesiteimmo.com/biens/24817100/2/original/1653065558",,790,,https://www.arthurimmo.com/annonces/location/appartement/charenton-le-pont-94220/24817100.htm,2,24817100,Location Appartement 2 pièces 22 m2 à Charenton-le-Pont,https://www.arthurimmo.com/annonces/location/appartement/charenton-le-pont-94220/24817100.htm,www.arthurimmo.com
,True,Arthurimmo,44,1,charenton,"A 300 mètres du Métro ligne 8 ""Liberté"", au 4ème étage d'une résidence de standing, appartement de 2 pièces de 44m² comprenant : un séjour avec balcon plein Sud, une chambre, une cuisine, une salle de bains avec WC. Idéalement situé, en bon état général et lumineux. Possibilité de louer un box en sus à 140 €. Loué vide et disponible de suite.",True,,"{'spider': 'arthurimmo', 'added_from': 'SCRAPY', 'ref': 'https://www.arthurimmo.com/recherche,basic.htm?transactions=louer&types%5B0%5D=maison&types%5B1%5D=appartement&types%5B2%5D=terrain&types%5B3%5D=immeuble&types%5B4%5D=local-commercial&types%5B5%5D=boutique&types%5B6%5D=fonds-de-commerce&types%5B7%5D=parking&types%5B8%5D=bureau&sort=-updated_at&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 18, 4, 989668)}","{'assets': ['Etat général Bon', 'Année de construction 2007', 'Surface habitable 44 m²', 'Etage 4ème', 'Ascenseur Oui', 'Nombre de pièces 2', 'Nombre de chambres 1', 'Nombre de salles de bain 1', 'Nombre de WC 1', 'Nombre de WC séparés 1', 'Chauffage electrique radiateur', 'Interphone Oui', 'Double vitrage Oui', 'Digicode Oui', 'Dpe date 2022-04-16']}","https://photos.lesiteimmo.com/biens/24484068/0/original/1648737202,https://photos.lesiteimmo.com/biens/24484068/2/original/1652265917,https://photos.lesiteimmo.com/biens/24484068/3/original/1652265917,https://photos.lesiteimmo.com/biens/24484068/4/original/1648741355,https://photos.lesiteimmo.com/biens/24484068/1/original/1652265917",,1200,,https://www.arthurimmo.com/annonces/location/appartement/charenton-le-pont-94220/24484068.htm,2,24484068,Location Appartement 2 pièces 44 m2 à Charenton-le-Pont,https://www.arthurimmo.com/annonces/location/appartement/charenton-le-pont-94220/24484068.htm,www.arthurimmo.com
,True,Arthurimmo,86,3,le,"ARTHURIMMO.COM vous propose un spacieux 4 pièces de 86m² dans une résidence sécurisée et très bien entretenue comprenant entrée avec placard, séjour avec coin cuisine et balcon, 3 chambres avec balcon, 2 salle de bains et WC.
Proche des commerces et transports. 2 places de parking et cave.",True,,"{'spider': 'arthurimmo', 'added_from': 'SCRAPY', 'ref': 'https://www.arthurimmo.com/recherche,basic.htm?transactions=louer&types%5B0%5D=maison&types%5B1%5D=appartement&types%5B2%5D=terrain&types%5B3%5D=immeuble&types%5B4%5D=local-commercial&types%5B5%5D=boutique&types%5B6%5D=fonds-de-commerce&types%5B7%5D=parking&types%5B8%5D=bureau&sort=-updated_at&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 18, 4, 989668)}","{'assets': ['DPE 230', 'GES 12', 'Standing Oui', 'Surface habitable 86 m²', 'Etage 2ème', 'Nombre de pièces 4', 'Nombre de chambres 3', 'Nombre de salles de bain 1', ""Nombre de salles d'eau 1"", 'Nombre de WC 2', 'Nombre de WC séparés 1', 'Chauffage individuel electrique', 'Coup de coeur Oui', ""Tout-à-l'égout Oui"", 'Dpe date 2021-01-13']}","https://photos.lesiteimmo.com/biens/24304108/2/original/1646145157,https://photos.lesiteimmo.com/biens/24304108/0/original/1646145157,https://photos.lesiteimmo.com/biens/24304108/1/original/1646145157,https://photos.lesiteimmo.com/biens/24304108/4/original/1646145158,https://photos.lesiteimmo.com/biens/24304108/3/original/1646145157",,1950,,https://www.arthurimmo.com/annonces/location/appartement/le-perreux-sur-marne-94170/24304108.htm,4,24304108,Location Appartement 4 pièces 86 m2 à Le Perreux-sur-Marne,https://www.arthurimmo.com/annonces/location/appartement/le-perreux-sur-marne-94170/24304108.htm,www.arthurimmo.com
,True,Arthurimmo,90,,cagnes,"ARTHURIMMO VOUS PROPOSE :
A louer, rue des Oliviers, local commercial de 90 m² comprenant 3 bureaux, climatisation, WC, proche de la mer, place de parking incluse, montant de 2500 € Charges comprises .",True,,"{'spider': 'arthurimmo', 'added_from': 'SCRAPY', 'ref': 'https://www.arthurimmo.com/recherche,basic.htm?transactions=louer&types%5B0%5D=maison&types%5B1%5D=appartement&types%5B2%5D=terrain&types%5B3%5D=immeuble&types%5B4%5D=local-commercial&types%5B5%5D=boutique&types%5B6%5D=fonds-de-commerce&types%5B7%5D=parking&types%5B8%5D=bureau&sort=-updated_at&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 18, 4, 989668)}","{'assets': ['DPE 334', 'GES 9', 'Etat général A rafraîchir', 'Surface habitable 90 m²', 'Etage Plain-pied', 'Handicapes 1', 'Climatisation Oui', 'Chauffage individuel electrique climatisation', 'Double vitrage Oui', 'Connexion internet Oui', 'Travaux à prévoir Oui', 'Dpe date 2022-03-28']}","https://photos.lesiteimmo.com/biens/24458261/0/original/1648472584,https://photos.lesiteimmo.com/biens/24458261/3/original/1648472584,https://photos.lesiteimmo.com/biens/24458261/2/original/1648472584,https://photos.lesiteimmo.com/biens/24458261/1/original/1648472584",,2600,,https://www.arthurimmo.com/annonces/location/bureau/cagnes-sur-mer-06800/24458261.htm,,24458261,Location Bureau 90 m2 à Cagnes-sur-Mer,https://www.arthurimmo.com/annonces/location/bureau/cagnes-sur-mer-06800/24458261.htm,www.arthurimmo.com
,True,Arthurimmo,65,,villeneuve,"ATHURIMMO
Vous propose à la location un F2 de 65 m²
entièrement refait à neuf comprenant un grand séjour ,
une cuisine indépendante , une chambre, une salle de bain, climatisation, double vitrage et son jardin 150 m²
AVEC UNE PLACE DE PARKING ET PROCHE TOUS COMMERCES",True,,"{'spider': 'arthurimmo', 'added_from': 'SCRAPY', 'ref': 'https://www.arthurimmo.com/recherche,basic.htm?transactions=louer&types%5B0%5D=maison&types%5B1%5D=appartement&types%5B2%5D=terrain&types%5B3%5D=immeuble&types%5B4%5D=local-commercial&types%5B5%5D=boutique&types%5B6%5D=fonds-de-commerce&types%5B7%5D=parking&types%5B8%5D=bureau&sort=-updated_at&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 18, 4, 989668)}","{'assets': ['DPE 204', 'GES 6', 'Etat général Excellent', 'Surface habitable 65 m²', 'Etage Rez-de-jardin', 'Nombre de pièces 2', 'Climatisation Oui', 'Chauffage collectif electrique climatisation', 'Interphone Oui', 'Meublé Oui', 'Double vitrage Oui', ""Tout-à-l'égout Oui"", 'Connexion internet Oui', 'Dpe date 2022-03-16', 'Mesures fiscales Résidence Principale']}","https://photos.lesiteimmo.com/biens/24408173/0/original/1647852796,https://photos.lesiteimmo.com/biens/24408173/2/original/1647852796,https://photos.lesiteimmo.com/biens/24408173/3/original/1647852796,https://photos.lesiteimmo.com/biens/24408173/4/original/1647852796,https://photos.lesiteimmo.com/biens/24408173/1/original/1647852796",,1286,,https://www.arthurimmo.com/annonces/location/appartement/villeneuve-loubet-06270/24408173.htm,2,24408173,Location Appartement 2 pièces 65 m2 à Villeneuve-Loubet,https://www.arthurimmo.com/annonces/location/appartement/villeneuve-loubet-06270/24408173.htm,www.arthurimmo.com
,True,Arthurimmo,53,1,rueil,"Arthurimmo.com vous propose dans une résidence neuve de standing, un appartement de 2 pièces de 53m² offrant : entrée avec placard, séjour avec cuisine ouverte orientée plein Ouest, chambre avec placard, salle de bains, WC séparés. Parking en sous-sol. Eau chaude et chauffage inclus dans les charges, jamais habité, lumineux et très calme.
Appartement loué dans le cadre du dispositif PINEL.",True,,"{'spider': 'arthurimmo', 'added_from': 'SCRAPY', 'ref': 'https://www.arthurimmo.com/recherche,basic.htm?transactions=louer&types%5B0%5D=maison&types%5B1%5D=appartement&types%5B2%5D=terrain&types%5B3%5D=immeuble&types%5B4%5D=local-commercial&types%5B5%5D=boutique&types%5B6%5D=fonds-de-commerce&types%5B7%5D=parking&types%5B8%5D=bureau&sort=-updated_at&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 18, 4, 989668)}","{'assets': ['Etat général Neuf', 'Surface habitable 53 m²', 'Etage 1er', 'Ascenseur Oui', 'Nombre de pièces 2', 'Nombre de chambres 1', 'Nombre de WC 1', 'Nombre de WC séparés 1', 'Orientation ouest', 'Chauffage collectif', 'Double vitrage Oui', ""Tout-à-l'égout Oui"", 'Dpe date 2022-04-16']}","https://photos.lesiteimmo.com/biens/24524519/2/original/1650471155,https://photos.lesiteimmo.com/biens/24524519/3/original/1650471155,https://photos.lesiteimmo.com/biens/24524519/0/original/1650471155,https://photos.lesiteimmo.com/biens/24524519/4/original/1651497842,https://photos.lesiteimmo.com/biens/24524519/1/original/1650471155",,1109,,https://www.arthurimmo.com/annonces/location/appartement/rueil-malmaison-92500/24524519.htm,2,24524519,Location Appartement 2 pièces 53 m2 à Rueil-Malmaison,https://www.arthurimmo.com/annonces/location/appartement/rueil-malmaison-92500/24524519.htm,www.arthurimmo.com
,True,Arthurimmo,18,,combs,"Dans un très bel ensemble immobilier
Dans un tout petit immeuble de 4 lots, au calme
Nous vous proposons un studio de 18, 09 m² habitable et 25,63 au total, en très bon état,
Avec coin nuit en mezzanine.

Loyer 410 € + PROVISION POUR CHARGES 15€.
Honoraires tout inclus: 234 €
Soyez les 1ers à appeler, ça va aller très vite!",True,,"{'spider': 'arthurimmo', 'added_from': 'SCRAPY', 'ref': 'https://www.arthurimmo.com/recherche,basic.htm?transactions=louer&types%5B0%5D=maison&types%5B1%5D=appartement&types%5B2%5D=terrain&types%5B3%5D=immeuble&types%5B4%5D=local-commercial&types%5B5%5D=boutique&types%5B6%5D=fonds-de-commerce&types%5B7%5D=parking&types%5B8%5D=bureau&sort=-updated_at&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 18, 4, 989668)}","{'assets': ['Etat général Bon', 'Année de construction 1800', 'Surface habitable 18 m²', ""Nombre d'étages 1"", 'Etage 1er', 'Nombre de pièces 1', 'Chauffage individuel convecteur', 'Double vitrage Oui', 'Connexion internet Oui', 'Dpe date 2021-06-16']}","https://photos.lesiteimmo.com/biens/24826617/2/original/1652866964,https://photos.lesiteimmo.com/biens/24826617/0/original/1652866964,https://photos.lesiteimmo.com/biens/24826617/1/original/1652866964",,425,,https://www.arthurimmo.com/annonces/location/appartement/combs-la-ville-77380/24826617.htm,1,24826617,Location Appartement 1 pièces 18 m2 à Combs-la-Ville,https://www.arthurimmo.com/annonces/location/appartement/combs-la-ville-77380/24826617.htm,www.arthurimmo.com
